,timespan,employees
0,12:48:30,13
1,12:49:23,16
2,12:50:18,16
3,12:51:12,16
4,12:52:07,18
5,12:53:02,14
6,12:54:30,13
7,12:55:23,16
8,12:56:18,16
9,12:57:12,16
10,12:58:07,18
11,12:59:02,14
